n	time	censor_rate	death_rate
25	1	0	0
50	1	0	0
100	1	0	0
25	2	0	0
50	2	0	0
100	2	0	0
25	3	0	0
50	3	0	0
100	3	0	0
25	4	0	0
50	4	0	0
100	4	0	0
25	5	0	0
50	5	0	0
100	5	0	0
25	1	0.25	0
50	1	0.25	0
100	1	0.25	0
25	2	0.25	0
50	2	0.25	0
100	2	0.25	0
25	3	0.25	0
50	3	0.25	0
100	3	0.25	0
25	4	0.25	0
50	4	0.25	0
100	4	0.25	0
25	5	0.25	0
50	5	0.25	0
100	5	0.25	0
25	1	0.5	0
50	1	0.5	0
100	1	0.5	0
25	2	0.5	0
50	2	0.5	0
100	2	0.5	0
25	3	0.5	0
50	3	0.5	0
100	3	0.5	0
25	4	0.5	0
50	4	0.5	0
100	4	0.5	0
25	5	0.5	0
50	5	0.5	0
100	5	0.5	0
25	1	0	0.25
50	1	0	0.25
100	1	0	0.25
25	2	0	0.25
50	2	0	0.25
100	2	0	0.25
25	3	0	0.25
50	3	0	0.25
100	3	0	0.25
25	4	0	0.25
50	4	0	0.25
100	4	0	0.25
25	5	0	0.25
50	5	0	0.25
100	5	0	0.25
25	1	0.25	0.25
50	1	0.25	0.25
100	1	0.25	0.25
25	2	0.25	0.25
50	2	0.25	0.25
100	2	0.25	0.25
25	3	0.25	0.25
50	3	0.25	0.25
100	3	0.25	0.25
25	4	0.25	0.25
50	4	0.25	0.25
100	4	0.25	0.25
25	5	0.25	0.25
50	5	0.25	0.25
100	5	0.25	0.25
25	1	0.5	0.25
50	1	0.5	0.25
100	1	0.5	0.25
25	2	0.5	0.25
50	2	0.5	0.25
100	2	0.5	0.25
25	3	0.5	0.25
50	3	0.5	0.25
100	3	0.5	0.25
25	4	0.5	0.25
50	4	0.5	0.25
100	4	0.5	0.25
25	5	0.5	0.25
50	5	0.5	0.25
100	5	0.5	0.25
25	1	0	0.5
50	1	0	0.5
100	1	0	0.5
25	2	0	0.5
50	2	0	0.5
100	2	0	0.5
25	3	0	0.5
50	3	0	0.5
100	3	0	0.5
25	4	0	0.5
50	4	0	0.5
100	4	0	0.5
25	5	0	0.5
50	5	0	0.5
100	5	0	0.5
25	1	0.25	0.5
50	1	0.25	0.5
100	1	0.25	0.5
25	2	0.25	0.5
50	2	0.25	0.5
100	2	0.25	0.5
25	3	0.25	0.5
50	3	0.25	0.5
100	3	0.25	0.5
25	4	0.25	0.5
50	4	0.25	0.5
100	4	0.25	0.5
25	5	0.25	0.5
50	5	0.25	0.5
100	5	0.25	0.5
25	1	0.5	0.5
50	1	0.5	0.5
100	1	0.5	0.5
25	2	0.5	0.5
50	2	0.5	0.5
100	2	0.5	0.5
25	3	0.5	0.5
50	3	0.5	0.5
100	3	0.5	0.5
25	4	0.5	0.5
50	4	0.5	0.5
100	4	0.5	0.5
25	5	0.5	0.5
50	5	0.5	0.5
100	5	0.5	0.5
